Year,Type4,Type5
1870,0,0
1871,0,0
1872,0,0
1873,0,0
1874,0,0
1875,0,0
1876,0,0
1877,0,0
1878,1,0
1879,0,0
1880,2,0
1881,0,0
1882,1,0
1883,0,0
1884,0,0
1885,0,0
1886,1,0
1887,0,0
1888,0,0
1889,0,0
1890,0,0
1891,0,0
1892,0,0
1893,1,0
1894,1,0
1895,0,0
1896,0,0
1897,0,0
1898,1,0
1899,1,0
1900,1,0
1901,0,0
1902,0,0
1903,0,0
1904,0,0
1905,0,0
1906,1,0
1907,0,0
1908,0,0
1909,0,0
1910,1,0
1911,0,0
1912,0,0
1913,0,0
1914,0,0
1915,2,0
1916,1,0
1917,1,0
1918,0,0
1919,1,0
1920,0,0
1921,1,0
1922,0,0
1923,0,0
1924,0,1
1925,0,0
1926,4,0
1927,0,0
1928,0,1
1929,1,0
1930,1,0
1931,1,0
1932,2,2
1933,3,2
1934,0,0
1935,2,1
1936,0,0
1937,0,0
1938,0,1
1939,1,0
1940,0,0
1941,1,0
1942,0,0
1943,1,0
1944,2,0
1945,1,0
1946,0,0
1947,1,0
1948,2,0
1949,1,0
1950,3,0
1951,2,0
1952,1,0
1953,0,1
1954,1,0
1955,2,1
1956,0,0
1957,1,0
1958,3,0
1959,1,0
1960,1,0
1961,3,2
1962,0,0
1963,1,0
1964,4,0
1965,1,0
1966,1,0
1967,0,1
1968,0,0
1969,0,1
1970,0,0
1971,0,1
1972,0,0
1973,0,0
1974,1,0
1975,1,0
1976,0,0
1977,0,1
1978,2,0
1979,1,1
1980,0,1
1981,1,0
1982,1,0
1983,0,0
1984,1,0
1985,1,0
1986,0,0
1987,0,0
1988,2,1
1989,1,1
1990,0,0
1991,1,0
1992,0,1
1993,0,0
1994,0,0
1995,3,0
1996,2,0
1997,0,0
1998,1,1
1999,5,0
2000,2,0
2001,2,0
2002,1,0
2003,1,1
2004,3,1
2005,1,4
2006,0,0
2007,0,2
2008,4,0
2009,1,0
2010,4,0
2011,2,0
2012,0,0
2013,0,0
2014,1,0
2015,1,0
2016,1,1
2017,2,2
2018,1,0
2019,0,0
2020,5,0
